Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability,Is_Update,Valid_From,Valid_Till,Size,time_to_voxelize
11,7,2.01,-299.604,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd,0.09375,0,2,501.0,0.3863029479980469,0.004063606262207031
11,8,334.765,-218.974,/home/sayon/autoware_map/town01/splitted/5_330_-221.pcd,0.0615384615384615,1,7,23.43220320822981,0.060373306274414,0.0016896724700927734
11,9,92.3984,-179.215,/home/sayon/autoware_map/town01/splitted/4_89_-182.pcd,0.0303030303030303,0,10,501.0,0.1668815612792968,0.0024945735931396484
12,0,2.0,-199.761,/home/sayon/autoware_map/town01/splitted/4_-3_-208.pcd,0.0149253731343283,0,12,501.0,0.1909904479980468,0.0026602745056152344
12,1,88.3873,-105.697,/home/sayon/autoware_map/town01/splitted/4_73_-117.pcd,0.0147058823529411,0,12,501.0,0.1972923278808593,0.0026979446411132812
12,10,92.3887,-113.025,/home/sayon/autoware_map/town01/splitted/4_89_-117.pcd,0.0289855072463768,0,11,501.0,0.1932029724121093,0.0026786327362060547
12,11,88.4009,-213.43,/home/sayon/autoware_map/town01/splitted/5_81_-214.pcd,0.0142857142857142,0,12,501.0,0.0403385162353515,0.0015108585357666016
12,2,154.054,-22.0109,/home/sayon/autoware_map/town01/splitted/5_151_-22.pcd,0.0140845070422535,0,12,501.0,0.050180435180664,0.0015723705291748047
12,3,249.563,-129.483,/home/sayon/autoware_map/town01/splitted/4_244_-142.pcd,0.0138888888888888,0,12,501.0,0.1992912292480468,0.0027518272399902344
12,4,73.5253,-330.576,/home/sayon/autoware_map/town01/splitted/2_73_-376.pcd,0.0136986301369863,0,12,501.0,2.033933639526367,0.018595218658447266
12,5,334.748,-249.393,/home/sayon/autoware_map/town01/splitted/5_330_-253.pcd,0.0135135135135135,0,12,501.0,0.042337417602539,0.0018258094787597656
12,6,291.022,2.03,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd,0.0666666666666666,0,8,501.0,0.6924400329589844,0.006448507308959961
12,7,2.01,-291.568,/home/sayon/autoware_map/town01/splitted/4_-11_-299.pcd,0.0263157894736842,0,5,501.0,0.4821281433105469,0.004806041717529297
12,8,334.762,-223.899,/home/sayon/autoware_map/town01/splitted/4_322_-234.pcd,0.0389610389610389,0,9,501.0,0.2604942321777344,0.003110647201538086
12,9,92.3975,-175.377,/home/sayon/autoware_map/town01/splitted/4_89_-182.pcd,0.0384615384615384,0,10,501.0,0.1668815612792968,0.0024895668029785156
13,0,1.99,-185.076,/home/sayon/autoware_map/town01/splitted/5_-3_-188.pcd,0.0126582278481012,1,13,13.850931068696964,0.042093276977539,0.0015375614166259766
13,1,88.3894,-116.843,/home/sayon/autoware_map/town01/splitted/4_73_-117.pcd,0.025,0,12,501.0,0.1972923278808593,0.0026781558990478516
